count,nodata,grid_id,station_name,buffer_km,valid_pixels,nodata_pixels,total_pixels,prop_nodata
64,57.0,22327,Aisa FM,20.0,64,57.0,121.0,0.47107438016528924
75,35.0,22157,Aisa FM,20.0,75,35.0,110.0,0.3181818181818182
31,90.0,22498,Aisa FM,20.0,31,90.0,121.0,0.743801652892562
61,60.0,22328,Aisa FM,20.0,61,60.0,121.0,0.49586776859504134
67,43.0,22158,Aisa FM,20.0,67,43.0,110.0,0.39090909090909093
53,68.0,22499,Aisa FM,20.0,53,68.0,121.0,0.5619834710743802
63,58.0,22329,Aisa FM,20.0,63,58.0,121.0,0.4793388429752066
53,57.0,22159,Aisa FM,20.0,53,57.0,110.0,0.5181818181818182
82,39.0,21646,Aisa FM,20.0,82,39.0,121.0,0.32231404958677684
54,67.0,21987,Aisa FM,20.0,54,67.0,121.0,0.5537190082644629
87,34.0,21817,Aisa FM,20.0,87,34.0,121.0,0.2809917355371901
52,69.0,21647,Aisa FM,20.0,52,69.0,121.0,0.5702479338842975
78,43.0,21988,Aisa FM,20.0,78,43.0,121.0,0.35537190082644626
87,34.0,21818,Aisa FM,20.0,87,34.0,121.0,0.2809917355371901
98,23.0,21648,Aisa FM,20.0,98,23.0,121.0,0.19008264462809918
80,41.0,21989,Aisa FM,20.0,80,41.0,121.0,0.33884297520661155
95,26.0,21819,Aisa FM,20.0,95,26.0,121.0,0.21487603305785125
56,65.0,21649,Aisa FM,20.0,56,65.0,121.0,0.5371900826446281
56,65.0,19769,Aisa FM,20.0,56,65.0,121.0,0.5371900826446281
1,109.0,19599,Aisa FM,20.0,1,109.0,110.0,0.990909090909091
17,104.0,19770,Aisa FM,20.0,17,104.0,121.0,0.859504132231405
0,110.0,19600,Aisa FM,20.0,0,110.0,110.0,1.0
0,121.0,19430,Aisa FM,20.0,0,121.0,121.0,1.0
74,47.0,20619,Aisa FM,20.0,74,47.0,121.0,0.3884297520661157
58,52.0,20449,Aisa FM,20.0,58,52.0,110.0,0.4727272727272727
62,59.0,20790,Aisa FM,20.0,62,59.0,121.0,0.48760330578512395
63,58.0,20620,Aisa FM,20.0,63,58.0,121.0,0.4793388429752066
45,65.0,20450,Aisa FM,20.0,45,65.0,110.0,0.5909090909090909
69,52.0,20791,Aisa FM,20.0,69,52.0,121.0,0.4297520661157025
63,58.0,20621,Aisa FM,20.0,63,58.0,121.0,0.4793388429752066
82,28.0,20451,Aisa FM,20.0,82,28.0,110.0,0.2545454545454545
6,115.0,20792,Aisa FM,20.0,6,115.0,121.0,0.9504132231404959
44,77.0,20622,Aisa FM,20.0,44,77.0,121.0,0.6363636363636364
16,105.0,20280,Aisa FM,20.0,16,105.0,121.0,0.8677685950413223
4,117.0,20110,Aisa FM,20.0,4,117.0,121.0,0.9669421487603306
63,58.0,19940,Aisa FM,20.0,63,58.0,121.0,0.4793388429752066
85,36.0,20281,Aisa FM,20.0,85,36.0,121.0,0.2975206611570248
71,50.0,20111,Aisa FM,20.0,71,50.0,121.0,0.4132231404958678
64,57.0,19941,Aisa FM,20.0,64,57.0,121.0,0.47107438016528924
33,88.0,20282,Aisa FM,20.0,33,88.0,121.0,0.7272727272727273
76,45.0,20112,Aisa FM,20.0,76,45.0,121.0,0.371900826446281
22,99.0,19942,Aisa FM,20.0,22,99.0,121.0,0.8181818181818182
20,101.0,20283,Aisa FM,20.0,20,101.0,121.0,0.8347107438016529
10,111.0,19771,Aisa FM,20.0,10,111.0,121.0,0.9173553719008265
0,110.0,19601,Aisa FM,20.0,0,110.0,110.0,1.0
0,121.0,19431,Aisa FM,20.0,0,121.0,121.0,1.0
0,121.0,19772,Aisa FM,20.0,0,121.0,121.0,1.0
0,110.0,19602,Aisa FM,20.0,0,110.0,110.0,1.0
0,121.0,19432,Aisa FM,20.0,0,121.0,121.0,1.0
0,121.0,19773,Aisa FM,20.0,0,121.0,121.0,1.0
0,110.0,19603,Aisa FM,20.0,0,110.0,110.0,1.0
82,28.0,20452,Aisa FM,20.0,82,28.0,110.0,0.2545454545454545
59,62.0,20793,Aisa FM,20.0,59,62.0,121.0,0.512396694214876
6,115.0,20623,Aisa FM,20.0,6,115.0,121.0,0.9504132231404959
12,98.0,20453,Aisa FM,20.0,12,98.0,110.0,0.8909090909090909
90,31.0,20794,Aisa FM,20.0,90,31.0,121.0,0.256198347107438
51,70.0,20624,Aisa FM,20.0,51,70.0,121.0,0.5785123966942148
0,110.0,20454,Aisa FM,20.0,0,110.0,110.0,1.0
25,85.0,20795,Aisa FM,20.0,25,85.0,110.0,0.7727272727272727
22,88.0,20625,Aisa FM,20.0,22,88.0,110.0,0.8
0,100.0,20455,Aisa FM,20.0,0,100.0,100.0,1.0
0,121.0,19433,Aisa FM,20.0,0,121.0,121.0,1.0
7,114.0,19263,Aisa FM,20.0,7,114.0,121.0,0.9421487603305785
0,121.0,19774,Aisa FM,20.0,0,121.0,121.0,1.0
0,110.0,19604,Aisa FM,20.0,0,110.0,110.0,1.0
0,121.0,19434,Aisa FM,20.0,0,121.0,121.0,1.0
68,53.0,19264,Aisa FM,20.0,68,53.0,121.0,0.4380165289256198
3,107.0,19775,Aisa FM,20.0,3,107.0,110.0,0.9727272727272728
0,100.0,19605,Aisa FM,20.0,0,100.0,100.0,1.0
0,110.0,19435,Aisa FM,20.0,0,110.0,110.0,1.0
22,88.0,19265,Aisa FM,20.0,22,88.0,110.0,0.8
30,91.0,20113,Aisa FM,20.0,30,91.0,121.0,0.7520661157024794
2,119.0,19943,Aisa FM,20.0,2,119.0,121.0,0.9834710743801653
0,121.0,20284,Aisa FM,20.0,0,121.0,121.0,1.0
0,121.0,20114,Aisa FM,20.0,0,121.0,121.0,1.0
0,121.0,19944,Aisa FM,20.0,0,121.0,121.0,1.0
0,110.0,20285,Aisa FM,20.0,0,110.0,110.0,1.0
0,110.0,20115,Aisa FM,20.0,0,110.0,110.0,1.0
0,110.0,19945,Aisa FM,20.0,0,110.0,110.0,1.0
0,121.0,20286,Aisa FM,20.0,0,121.0,121.0,1.0
0,121.0,20116,Aisa FM,20.0,0,121.0,121.0,1.0
0,121.0,19776,Aisa FM,20.0,0,121.0,121.0,1.0
0,110.0,19606,Aisa FM,20.0,0,110.0,110.0,1.0
0,121.0,19436,Aisa FM,20.0,0,121.0,121.0,1.0
8,113.0,19266,Aisa FM,20.0,8,113.0,121.0,0.9338842975206612
0,121.0,19777,Aisa FM,20.0,0,121.0,121.0,1.0
0,110.0,19607,Aisa FM,20.0,0,110.0,110.0,1.0
0,121.0,19437,Aisa FM,20.0,0,121.0,121.0,1.0
30,91.0,19267,Aisa FM,20.0,30,91.0,121.0,0.7520661157024794
0,121.0,19778,Aisa FM,20.0,0,121.0,121.0,1.0
3,107.0,19608,Aisa FM,20.0,3,107.0,110.0,0.9727272727272728
1,120.0,20796,Aisa FM,20.0,1,120.0,121.0,0.9917355371900827
0,121.0,20626,Aisa FM,20.0,0,121.0,121.0,1.0
0,110.0,20456,Aisa FM,20.0,0,110.0,110.0,1.0
0,121.0,20797,Aisa FM,20.0,0,121.0,121.0,1.0
