,count,sum,nodata,grid_id,station_name,buffer_km,valid_pixels,nodata_pixels,total_pixels,prop_nodata,population_count,household_count
1341,85,940.9968872070312,36.0,21630,Aisa FM,25.0,85,36.0,121.0,0.2975206611570248,940.9968872070312,192.04018106265943
1342,45,473.2085571289063,55.0,21971,Aisa FM,25.0,45,55.0,100.0,0.55,473.2085571289063,96.57317492426658
1343,52,504.385986328125,58.0,21801,Aisa FM,25.0,52,58.0,110.0,0.5272727272727272,504.385986328125,102.93591557716836
1344,66,689.6845703125,44.0,21631,Aisa FM,25.0,66,44.0,110.0,0.4,689.6845703125,140.751953125
1345,32,324.90045166015625,78.0,21972,Aisa FM,25.0,32,78.0,110.0,0.7090909090909091,324.90045166015625,66.30621462452167
1346,64,652.4141845703125,57.0,21802,Aisa FM,25.0,64,57.0,121.0,0.4710743801652892,652.4141845703125,133.145751953125
1347,48,460.5431518554688,73.0,21632,Aisa FM,25.0,48,73.0,121.0,0.6033057851239669,460.5431518554688,93.98839833785077
1350,24,256.9297180175781,86.0,21293,Aisa FM,25.0,24,86.0,110.0,0.7818181818181819,256.9297180175781,52.43463633011798
1351,43,456.8053894042969,78.0,21123,Aisa FM,25.0,43,78.0,121.0,0.6446280991735537,456.8053894042969,93.2255896743463
1352,87,1006.6398315429688,34.0,20953,Aisa FM,25.0,87,34.0,121.0,0.2809917355371901,1006.6398315429688,205.43670031489157
1356,64,619.0006103515625,57.0,20954,Aisa FM,25.0,64,57.0,121.0,0.4710743801652892,619.0006103515625,126.32665517378825
1357,78,677.9851684570312,43.0,21465,Aisa FM,25.0,78,43.0,121.0,0.3553719008264462,677.9851684570312,138.3643200932717
1359,12,101.32156372070312,109.0,22313,Aisa FM,25.0,12,109.0,121.0,0.9008264462809916,101.32156372070312,20.67787014708227
1361,25,218.24366760253903,96.0,22484,Aisa FM,25.0,25,96.0,121.0,0.7933884297520661,218.24366760253903,44.53952400051817
1364,59,502.96380615234375,62.0,22485,Aisa FM,25.0,59,62.0,121.0,0.512396694214876,502.96380615234375,102.6456747249681
1365,57,523.7998046875,64.0,22315,Aisa FM,25.0,57,64.0,121.0,0.5289256198347108,523.7998046875,106.89791932397958
1366,61,569.9132080078125,60.0,22145,Aisa FM,25.0,61,60.0,121.0,0.4958677685950413,569.9132080078125,116.30881796077806
1367,53,627.7987060546875,68.0,22486,Aisa FM,25.0,53,68.0,121.0,0.5619834710743802,627.7987060546875,128.12218490911988
